Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,H
E151,15,0,0,0,0,0,0,0,0,0,H
E166,15,0,0,0,0,0,0,0,0,0,H
E181,15,0,0,0,0,0,0,0,0,0,H
E196,15,0,0,0,0,0,0,0,0,0,H
N40,15,0,0,0,0,0,0,0,0,0,H
N41,15,0,0,0,0,0,0,0,0,0,H
W110,15,0,0,0,0,0,0,0,0,0,H
W155,15,0,0,0,0,0,0,0,0,0,H
W170,15,0,0,0,0,0,0,0,0,0,H
W185,15,0,0,0,0,0,0,0,0,0,H
W200,15,0,0,0,0,0,0,0,0,0,H
E114,15,0.189417636,0.876692965,0.005086002,0.424320376,0.079950847,0.102658015,2.211705405,0.168776478,0.344645075,D
E151,15,0.801362053,11.22450253,0.570728098,0.297598526,0.18216027,0.184897018,2.173029548,0.147174953,0.115648922,D
E166,15,0.886361155,0.054972328,0.393554568,0.313782777,0.252614987,0.249489496,2.19828051,0.103275961,0.0613227,D
E181,15,1.101789934,0.005359359,0.029362566,0.343932113,0.311909566,0.309104964,1.512573767,0.002457288,0.032122741,D
E196,15,1.168720544,1.29191178,0.134437481,0.352932032,0.354732594,0.35817214,0.889487808,0.104879333,0.001806972,D
N40,15,0.332287902,11.98318665,0.04421852,0.25646084,0.112410574,0.112410576,2.185332462,0.002556472,0.144212376,D
N41,15,0.720667983,0.046144298,0.30154652,0.107487763,0.246437287,0.246437286,0.325338241,0.171739654,0.354799408,D
W110,15,0.926630261,0.241870517,0.037905489,0.610410659,0.330388498,0.3303885,0.613923289,0.377923264,0.280950389,D
W155,15,1.598603335,24.96846144,0.30003394,0.291768222,0.379351089,0.379351089,0.573756484,0.074575837,0.087916378,D
W170,15,1.639977317,1.36278042,0.40647365,0.322764295,0.398363763,0.398363763,0.699966074,0.074592525,0.075901833,D
W185,15,1.572782101,12.66860372,0.062133811,0.394143124,0.431070929,0.43107093,0.96483754,0.194962205,0.03708768,D
W200,15,1.492681803,0.28835322,0.475770345,0.442306377,0.460190804,0.460190807,0.094607568,0.326098131,0.01796711,D
E114,20,0,0,0,0,0,0,0,0,0,H
E151,20,0,0,0,0,0,0,0,0,0,H
E166,20,0,0,0,0,0,0,0,0,0,H
E181,20,0,0,0,0,0,0,0,0,0,H
E196,20,0,0,0,0,0,0,0,0,0,H
N40,20,0,0,0,0,0,0,0,0,0,H
N41,20,0,0,0,0,0,0,0,0,0,H
W110,20,0,0,0,0,0,0,0,0,0,H
W155,20,0,0,0,0,0,0,0,0,0,H
W170,20,0,0,0,0,0,0,0,0,0,H
W185,20,0,0,0,0,0,0,0,0,0,H
W200,20,0,0,0,0,0,0,0,0,0,H
E114,20,0.874890639,3.086312187,5.511434748,0.450045005,0.27027027,0.270148582,4.525175271,0.457417582,0.718373724,D
E151,20,0.03872059,0.893501508,0.039795715,0.103573278,0.024485798,0.024479804,1.148897059,0.151080224,0.079068119,D
E166,20,0.500894454,1.200684174,10.85341343,0.362027353,0.080580177,0.080547725,1.561686622,0.167237149,0.281674149,D
E181,20,0.693755175,0.089188753,18.33375538,0.238663484,0.17167382,0.171636988,4.307432432,0.157984394,0.067104866,D
E196,20,0.926567489,1.643839251,7.373299809,0.30565461,0.192572215,0.192519252,3.418124006,0.148875986,0.113300581,D
N40,20,0.994475138,0.670025718,13.58024691,0.284090909,0.151400454,0.15128593,2.1875,0.206295844,0.132891653,D
N41,20,0.626304802,11.45383104,9.113311733,0.165016502,0,0.077220077,0.984875132,0.332686836,0.165016502,D
W110,20,0.80813028,3.668692812,17.60123448,0.920502092,0.232883093,0.232883093,1.589544331,0.21679372,0.686021372,D
W155,20,0.001968465,0.440437674,57.66045549,0.246305419,0.047528517,0.047517225,5.6,0.253248917,0.293694347,D
W170,20,0.330791027,0.249265183,9.111299995,0.298111958,0.039323634,0.019657952,3.273809524,0.330231162,0.258890129,D
W185,20,0.781412253,1.544991382,22.34413818,0.351014041,0.107665805,0.129143349,0.321543408,0.213692776,0.24361052,D
W200,20,0.733920666,10.43479266,35.33556414,0.097276265,0.139664804,0.167550963,1.032448378,0.116176967,0.237272455,D
E114,25,0,0,0,0,0,0,0,0,0,H
E151,25,0,0,0,0,0,0,0,0,0,H
E166,25,0,0,0,0,0,0,0,0,0,H
E181,25,0,0,0,0,0,0,0,0,0,H
E196,25,0,0,0,0,0,0,0,0,0,H
N40,25,0,0,0,0,0,0,0,0,0,H
N41,25,0,0,0,0,0,0,0,0,0,H
W110,25,0,0,0,0,0,0,0,0,0,H
W155,25,0,0,0,0,0,0,0,0,0,H
W170,25,0,0,0,0,0,0,0,0,0,H
W185,25,0,0,0,0,0,0,0,0,0,H
W200,25,0,0,0,0,0,0,0,0,0,H
E114,25,1.623578077,15.09453824,2.250287971,0.878734622,0.459770115,0.459770115,5.249144161,0.144951318,0.41704705,D
E151,25,0.238117255,25.08398097,197.0063526,0.19379845,0.114964553,0.114942529,0.245098039,0.080066838,0.07874337,D
E166,25,0.564941107,11.2406453,4.690765321,0.176470588,0.048262548,0.048254785,0,0.003372226,0.128146193,D
E181,25,0.307560184,17.69942236,147.0449637,0.040783034,0.066770532,0.066755674,6.745670009,0.075248319,0.026004861,D
E196,25,0.708331534,1.639186719,3848.919362,0.367454068,0.114122682,0.142612664,4.540358744,0.073959781,0.253620825,D
N40,25,1.388888889,1.336899825,99.5620331,0.383631714,0.206469374,0.275103164,0.473933649,0.115588789,0.177528883,D
N41,25,0.716612378,0.108143519,113.5675401,0.507614213,0,0,0.943396226,0.568349374,0.507614213,D
W110,25,0.945664369,1.776882998,377.9259897,0.86281277,0.145137881,0.096711799,5.90974212,0.046518607,1.006489853,D
W155,25,0.581070831,1.297806115,1760.022565,0.621359223,0.037735849,0.018864365,15.68627451,0.026134145,0.583843693,D
W170,25,1.383859179,16.19996791,163.0255589,0.503852993,0.094981795,0.079138968,0.315457413,0.220566319,0.409259921,D
W185,25,0.971039182,1.897085724,18877.37035,0.317460317,0.249207068,0.226500566,1.773049645,0.009570556,0.068423766,D
W200,25,1.030042918,2.065054146,97.78422953,0.303643725,0.322108346,0.292825769,0.252270434,0.070175439,0.018524289,D
E114,30,0,0,0,0,0,0,0,0,0,H
E151,30,0,0,0,0,0,0,0,0,0,H
E166,30,0,0,0,0,0,0,0,0,0,H
E181,30,0,0,0,0,0,0,0,0,0,H
E196,30,0,0,0,0,0,0,0,0,0,H
N40,30,0,0,0,0,0,0,0,0,0,H
N41,30,0,0,0,0,0,0,0,0,0,H
W110,30,0,0,0,0,0,0,0,0,0,H
W155,30,0,0,0,0,0,0,0,0,0,H
W170,30,0,0,0,0,0,0,0,0,0,H
W185,30,0,0,0,0,0,0,0,0,0,H
W200,30,0,0,0,0,0,0,0,0,0,H
E114,30,0.419329073,0.396069787,65.0865371,1.87007874,0.261369577,0.261369577,0.757575758,0.106511397,1.612924858,D
E151,30,0.700932701,29.99909489,127.8676881,0.10940919,0.066889632,0.050158836,25.75757576,0.233983287,0.042548018,D
E166,30,0.939269804,19.82005005,83.10469644,0.147797813,0.070412618,0.070392792,13.13868613,0.188311997,0.077439722,D
E181,30,1.131103361,2.108075802,285.8014464,0.332225914,0.241837969,0.241779497,0.238826339,0.259644406,0.090607067,D
