Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,H
E151,15,0,0,0,0,0,0,0,0,0,H
E166,15,0,0,0,0,0,0,0,0,0,H
E181,15,0,0,0,0,0,0,0,0,0,H
E196,15,0,0,0,0,0,0,0,0,0,H
N40,15,0,0,0,0,0,0,0,0,0,H
N41,15,0,0,0,0,0,0,0,0,0,H
W110,15,0,0,0,0,0,0,0,0,0,H
W155,15,0,0,0,0,0,0,0,0,0,H
W170,15,0,0,0,0,0,0,0,0,0,H
W185,15,0,0,0,0,0,0,0,0,0,H
W200,15,0,0,0,0,0,0,0,0,0,H
E114,15,0.457058025,13.5901715,0.675648502,0.066831588,0.137463868,0.114707289,0.303015996,0.107148721,0.204015009,DR
E151,15,0.008273999,0.398876571,0.211325879,0.085533265,0.070784485,0.068040801,1.1764922,0.094942038,0.014738348,DR
E166,15,0.205824511,0.513074265,0.497432583,0.069606887,0.055984353,0.059119514,1.720722733,0.12896872,0.013614912,DR
E181,15,0.07082705,1.501003724,0.101413662,0.035954923,0.068843589,0.071658904,0.233222639,0.11145183,0.03286604,DR
E196,15,0.060380322,9.264565849,0.023939873,0.035708318,0.074648541,0.071194175,0.993050441,0.191831177,0.038911177,DR
N40,15,0.194427218,13.85540169,0.270073733,0.068150433,0.189480887,0.189480897,30.14849102,0.753648534,0.257144081,DR
N41,15,0.281821967,2.160424783,0.226739091,0.041341447,0.055300288,0.055300284,3.587561019,0.403480876,0.096588321,DR
W110,15,0.53297637,5.482979102,0.455414423,0.246269128,0.498367629,0.498367629,14.12312663,1.588471057,0.740944131,DR
W155,15,0.43236739,30.59544573,0.384687145,0.301849644,0.275081001,0.275081001,0.327456785,0.764315071,0.575347973,DR
W170,15,0.344149624,8.424461424,0.322454257,0.246090558,0.160105093,0.160105094,2.769147393,0.435972594,0.40554635,DR
W185,15,0.037198538,14.8951525,0.823817441,0.019480637,0.027361331,0.027361329,1.720454519,0.131291798,0.046829155,DR
W200,15,0.037523891,21.89472466,0.707438325,0.011969631,0.009363008,0.00936301,2.861761373,0.011327466,0.021334637,DR
E114,15,0.597848739,0.52715741,0.037147981,0.216412423,0.050304733,0.027567966,0.227954527,0.108438553,0.266583053,DL2
E151,15,0.361347779,0.195509948,0.282156175,0.04563364,0.032068178,0.034809041,1.423200381,0.098405896,0.013569814,DL2
E166,15,0.210008177,0.798650902,0.68813237,0.066500531,0.054710907,0.051579214,1.931037642,0.119153029,0.011796078,DL2
E181,15,0.341480285,1.363263884,0.452712954,0.112031539,0.054398973,0.051587126,0.482000115,0.07168312,0.057663934,DL2
E196,15,0.36302777,2.543126793,0.166111896,0.11890065,0.060429984,0.063879687,0.706587395,0.128677925,0.058506021,DL2
N40,15,0.093292667,13.91222309,0.188020299,0.145268028,0.156516659,0.156516666,27.55647422,0.746334467,0.301313082,DL2
N41,15,0.334561042,1.043905097,0.447694788,0.003307316,0.026378781,0.026378792,3.298996949,0.388845207,0.023065381,DL2
W110,15,0.915946621,5.802924654,1.059269154,0.429392326,0.434907095,0.43490709,14.89378997,1.628050903,0.860556798,DL2
W155,15,0.154541408,30.32185999,0.078545602,0.468489625,0.170719785,0.170719785,0.043566368,0.822197433,0.638120013,DL2
W170,15,0.203035671,16.94902223,0.144627063,0.395305914,0.040056222,0.040056223,2.652174349,0.472659159,0.435187817,DL2
W185,15,0.524797181,14.85428092,0.059015022,0.154939021,0.112058791,0.112058791,1.997610414,0.107088058,0.042928335,DL2
W200,15,0.552884752,12.15045777,0.77878095,0.127106085,0.160220505,0.160220507,2.925691684,0.101537989,0.033167561,DL2
E114,20,0,0,0,0,0,0,0,0,0,H
E151,20,0,0,0,0,0,0,0,0,0,H
E166,20,0,0,0,0,0,0,0,0,0,H
E181,20,0,0,0,0,0,0,0,0,0,H
E196,20,0,0,0,0,0,0,0,0,0,H
N40,20,0,0,0,0,0,0,0,0,0,H
N41,20,0,0,0,0,0,0,0,0,0,H
W110,20,0,0,0,0,0,0,0,0,0,H
W155,20,0,0,0,0,0,0,0,0,0,H
W170,20,0,0,0,0,0,0,0,0,0,H
W185,20,0,0,0,0,0,0,0,0,0,H
W200,20,0,0,0,0,0,0,0,0,0,H
E114,20,0.205182245,13.3075562,16.53520151,0.2591591,0.00057704,0.020616067,0.743326751,0.029982591,0.259737638,DR
E151,20,0.056350628,0.50891569,25.25485395,1.732808616,0.071467493,0.070956905,2.340844135,0.321959662,1.805566501,DR
E166,20,0.332740122,0.016490587,15.46088928,0.376918002,0.064230493,0.079507727,1.974987673,0.197670157,0.441432028,DR
E181,20,0.118204782,2.396304333,19.32710103,0.399622201,0.059579335,0.056044553,2.052748638,0.06683878,0.459475289,DR
E196,20,0.105618818,11.97610398,45.9215562,0.253112107,0.088170146,0.09068068,5.064141283,0.160958088,0.341583427,DR
N40,20,0.038139455,0.645222391,10.52178881,0.365383902,0.039701737,0.010983376,5.930167199,0.137999509,0.404924877,DR
N41,20,0.507066555,19.36184163,38.70301193,0.017905115,0.219619743,0.167262504,3.92828045,0.190973146,0.201272594,DR
W110,20,0.882179528,3.653964415,0.903228168,0.414143164,0.695391371,0.720562072,2.227357379,1.771213152,0.279305937,DR
W155,20,1.050935877,22.28442733,64.57161344,0.13486599,0.336473875,0.337710346,0.132772665,0.772210451,0.469759247,DR
W170,20,0.267325624,0.243979141,20.42463917,0.116922149,0.281741169,0.287090207,6.190403268,0.690719546,0.397543274,DR
W185,20,0.263644877,11.85121998,3.81007296,0.084382735,0.202076853,0.183978686,5.700327063,0.508560379,0.117456765,DR
W200,20,0.270294949,13.88679697,19.48777708,0.038370854,0.110658923,0.10772041,0.429504326,0.225109641,0.148865045,DR
E114,20,0.199459939,13.52581943,14.08528299,0.181137836,0.006290896,0.026328778,1.82650585,0.098678525,0.187440524,DL2
E151,20,0.119566603,0.824712835,10.08873092,1.5389916,0.117172204,0.11666185,2.271330173,0.263920884,1.658106644,DL2
E166,20,0.573870595,0.477201446,35.42421671,0.261238584,0.131239102,0.146506093,1.931527685,0.141575059,0.392993447,DL2
E181,20,0.442650129,2.890826603,26.02249563,0.256024959,0.14303111,0.13949928,1.504493083,0.029790525,0.399627661,DL2
E196,20,0.40972107,11.78117559,47.3626278,0.096741793,0.168947975,0.17145648,4.379014012,0.130022305,0.266139406,DL2
N40,20,0.081779036,0.756367027,8.953753575,0.43346606,0.01412572,0.036546435,5.114928349,0.221097964,0.447528563,DL2
N41,20,0.266577895,19.08590413,5.291442262,0.000605812,0.207214377,0.154863618,4.070976254,0.28100255,0.207390446,DL2
W110,20,0.979117923,3.68407335,14.06651387,0.652234948,0.73190779,0.75708762,2.066691618,1.848647923,0.079093948,DL2
W155,20,0.833873587,13.4020619,33.19616934,0.234081409,0.314679002,0.315915204,0.786806387,0.86286327,0.547038994,DL2
W170,20,0.737515388,14.10707686,17.53379579,0.222987771,0.234022615,0.239369108,5.732115811,0.796411679,0.455943376,DL2
W185,20,0.128825708,11.69119852,38.49250697,0.034539012,0.124204276,0.106120174,5.273003255,0.573194314,0.158546366,DL2
W200,20,0.118682999,13.54050818,29.94442076,0.01966159,0.028786004,0.025849894,0.087849881,0.254346101,0.009121788,DL2
E114,25,0,0,0,0,0,0,0,0,0,H
E151,25,0,0,0,0,0,0,0,0,0,H
E166,25,0,0,0,0,0,0,0,0,0,H
